"","term","estimate","std.error","offset","change.value","change","sp"
"ACALDI","con_dens",0.017532523158186,0.016546708251474,1,"+ 1","equilibrium","ACALDI"
"AEGICE","con_dens",0.0893677925250431,0.0259307691937106,1,"+ 1","equilibrium","AEGICE"
"BEILPE","con_dens",0.00604341911750773,0.00106293653132846,1,"+ 1","equilibrium","BEILPE"
"CAPPFR","con_dens",0.0209445435073333,0.0043104720989191,1,"+ 1","equilibrium","CAPPFR"
"CECRIN","con_dens",0.0286218584523214,0.0270539807695367,1,"+ 1","equilibrium","CECRIN"
"CORDLA","con_dens",0.0134647746785366,0.0306238206345142,1,"+ 1","equilibrium","CORDLA"
"DAVINI","con_dens",0.0329881714133452,0.0511958474655199,1,"+ 1","equilibrium","DAVINI"
"DESMAX","con_dens",0.00206804846760628,0.0470646924199765,1,"+ 1","equilibrium","DESMAX"
"HEISCO","con_dens",0.0324868431737286,0.031871883037122,1,"+ 1","equilibrium","HEISCO"
"JUSTGR","con_dens",-0.0218674714459573,0.0206556443689888,1,"+ 1","equilibrium","JUSTGR"
"MACFUN","con_dens",0.0389573973066215,0.0157375142689046,1,"+ 1","equilibrium","MACFUN"
"MICOAR","con_dens",0.0696327790923962,0.0416053218549829,1,"+ 1","equilibrium","MICOAR"
"MOURMY","con_dens",0.00412995055689445,0.00223779127752336,1,"+ 1","equilibrium","MOURMY"
"OURALU","con_dens",0.0407457361435919,0.0144857076622943,1,"+ 1","equilibrium","OURALU"
"PRI1AS","con_dens",0.00104447850716,0.00766395293937075,1,"+ 1","equilibrium","PRI1AS"
"PSYCDE","con_dens",0.016108009405718,0.0488040125183544,1,"+ 1","equilibrium","PSYCDE"
"PSYCFU","con_dens",0.0162389214126799,0.0132679399129783,1,"+ 1","equilibrium","PSYCFU"
"QUARAS","con_dens",-0.00513288720312078,0.00197839264138882,1,"+ 1","equilibrium","QUARAS"
"RHYCPY","con_dens",-0.00164402223433015,0.04708335748183,1,"+ 1","equilibrium","RHYCPY"
"RINOSY","con_dens",0.00104859004181085,0.00467252154613985,1,"+ 1","equilibrium","RINOSY"
"TET3DI","con_dens",0.00564997504037503,0.0498027709444409,1,"+ 1","equilibrium","TET3DI"
"data_deficient_seedling","con_dens",0.111798150282665,0.0425623369370714,1,"+ 1","equilibrium","data_deficient_seedling"
"ACALDI1","con_dens",0.0206347645854183,0.0211476353719524,1,"0_1","invasion","ACALDI"
"AEGICE1","con_dens",0.0857417285837437,0.0244193726975108,1,"0_1","invasion","AEGICE"
"BEILPE1","con_dens",0.00697783209786423,0.0013073338225122,1,"0_1","invasion","BEILPE"
"CAPPFR1","con_dens",0.0187486955389006,0.00343990684927694,1,"0_1","invasion","CAPPFR"
"CECRIN1","con_dens",0.00479769551529999,0.0505909605731093,1,"0_1","invasion","CECRIN"
"CORDLA1","con_dens",0.0175399828253867,0.0354930443262942,1,"0_1","invasion","CORDLA"
"DAVINI1","con_dens",0.0318946913090564,0.0617657756516606,1,"0_1","invasion","DAVINI"
"DESMAX1","con_dens",-0.0376462333093875,0.0575676386812822,1,"0_1","invasion","DESMAX"
"HEISCO1","con_dens",0.0317566860881268,0.0303954113214386,1,"0_1","invasion","HEISCO"
"JUSTGR1","con_dens",-0.0228650659767874,0.0226591202947535,1,"0_1","invasion","JUSTGR"
"MACFUN1","con_dens",0.05441136192328,0.0228512402323246,1,"0_1","invasion","MACFUN"
"MICOAR1","con_dens",0.0722079669155769,0.0583990873617734,1,"0_1","invasion","MICOAR"
"MOURMY1","con_dens",0.00399758986608088,0.00210892953510269,1,"0_1","invasion","MOURMY"
"OURALU1","con_dens",0.0352266338038679,0.0113326795030902,1,"0_1","invasion","OURALU"
"PRI1AS1","con_dens",0.00104500159199614,0.00762369962182177,1,"0_1","invasion","PRI1AS"
"PSYCDE1","con_dens",0.0183878659016432,0.0692873338217102,1,"0_1","invasion","PSYCDE"
"PSYCFU1","con_dens",0.0159444680025304,0.0128413019356927,1,"0_1","invasion","PSYCFU"
"QUARAS1","con_dens",-0.00713502440622716,0.00299543535090103,1,"0_1","invasion","QUARAS"
"RHYCPY1","con_dens",-0.00138881512634288,0.0551746054747443,1,"0_1","invasion","RHYCPY"
"RINOSY1","con_dens",0.00275678900863059,0.00702852252413102,1,"0_1","invasion","RINOSY"
"TET3DI1","con_dens",-0.0325940995257087,0.0685980193652732,1,"0_1","invasion","TET3DI"
"data_deficient_seedling1","con_dens",0.111972425467418,0.0445913916220075,1,"0_1","invasion","data_deficient_seedling"
"ACALDI2","con_dens",0.0206347645854183,0.0211476353719524,1,"0_1","iqr","ACALDI"
"AEGICE2","con_dens",0,0,1,"0_0","iqr","AEGICE"
"BEILPE2","con_dens",0.116276147482474,0.0190043622104691,1,"1_21","iqr","BEILPE"
"CAPPFR2","con_dens",0,0,1,"0_0","iqr","CAPPFR"
"CECRIN2","con_dens",0.0333734046059828,0.0758973022793937,1,"0_2","iqr","CECRIN"
"CORDLA2","con_dens",0,0,1,"0_0","iqr","CORDLA"
"DAVINI2","con_dens",0,0,1,"0_0","iqr","DAVINI"
"DESMAX2","con_dens",0,0,1,"0_0","iqr","DESMAX"
"HEISCO2","con_dens",0,0,1,"0_0","iqr","HEISCO"
