"","term","estimate","std.error","offset","change.value","change","sp"
"ACALDI","con_dens",0.12190548265406,0.122096554447348,1,"+ 1","equilibrium","ACALDI"
"AEGICE","con_dens",0.46332386249328,0.140120748351684,1,"+ 1","equilibrium","AEGICE"
"BEILPE","con_dens",0.0202631889140387,0.00362448793803934,1,"+ 1","equilibrium","BEILPE"
"CAPPFR","con_dens",0.429310685252275,0.0872775009803698,1,"+ 1","equilibrium","CAPPFR"
"CECRIN","con_dens",0.0412140864520137,0.0425717578324768,1,"+ 1","equilibrium","CECRIN"
"CORDLA","con_dens",0.104406287749228,0.241547626873972,1,"+ 1","equilibrium","CORDLA"
"DAVINI","con_dens",0.116583563936156,0.200294935044534,1,"+ 1","equilibrium","DAVINI"
"DESMAX","con_dens",0.0111315355197432,0.123539647269799,1,"+ 1","equilibrium","DESMAX"
"HEISCO","con_dens",0.23375216066672,0.227252222481891,1,"+ 1","equilibrium","HEISCO"
"JUSTGR","con_dens",-0.0649804280318455,0.0610862065959138,1,"+ 1","equilibrium","JUSTGR"
"MACFUN","con_dens",0.2407551215693,0.10744156432554,1,"+ 1","equilibrium","MACFUN"
"MICOAR","con_dens",0.212629984657753,0.142202859698097,1,"+ 1","equilibrium","MICOAR"
"MOURMY","con_dens",0.0656672839421566,0.0352451569782808,1,"+ 1","equilibrium","MOURMY"
"OURALU","con_dens",1.06534798358959,0.372586717475042,1,"+ 1","equilibrium","OURALU"
"PRI1AS","con_dens",0.0113683411583789,0.0820693314583943,1,"+ 1","equilibrium","PRI1AS"
"PSYCDE","con_dens",0.104737970892091,0.336452541655697,1,"+ 1","equilibrium","PSYCDE"
"PSYCFU","con_dens",0.0737106737276909,0.0601447146320804,1,"+ 1","equilibrium","PSYCFU"
"QUARAS","con_dens",-0.0321576476687479,0.0123612538358512,1,"+ 1","equilibrium","QUARAS"
"RHYCPY","con_dens",-0.00461004816316817,0.131111511315751,1,"+ 1","equilibrium","RHYCPY"
"RINOSY","con_dens",0.0221439457092302,0.127269087994423,1,"+ 1","equilibrium","RINOSY"
"TET3DI","con_dens",0.0280730032538321,0.46964080822103,1,"+ 1","equilibrium","TET3DI"
"data_deficient_seedling","con_dens",0.699847674784453,0.279663894012503,1,"+ 1","equilibrium","data_deficient_seedling"
"ACALDI1","con_dens",0.153448951584321,0.167048281073576,1,"0_1","invasion","ACALDI"
"AEGICE1","con_dens",0.46899360798032,0.144452548832435,1,"0_1","invasion","AEGICE"
"BEILPE1","con_dens",0.0289625840610096,0.00628472238997171,1,"0_1","invasion","BEILPE"
"CAPPFR1","con_dens",0.431119040610517,0.0884685150971763,1,"0_1","invasion","CAPPFR"
"CECRIN1","con_dens",0.00750815974720354,0.0820953904956126,1,"0_1","invasion","CECRIN"
"CORDLA1","con_dens",0.137016430617871,0.276587284648007,1,"0_1","invasion","CORDLA"
"DAVINI1","con_dens",0.118868480194359,0.241306942468046,1,"0_1","invasion","DAVINI"
"DESMAX1","con_dens",-0.107785490148912,0.162387585598504,1,"0_1","invasion","DESMAX"
"HEISCO1","con_dens",0.234427879383448,0.229796100178058,1,"0_1","invasion","HEISCO"
"JUSTGR1","con_dens",-0.0640443971073192,0.0600742194878012,1,"0_1","invasion","JUSTGR"
"MACFUN1","con_dens",0.344363832576225,0.15822355735134,1,"0_1","invasion","MACFUN"
"MICOAR1","con_dens",0.233693646257913,0.204435639957364,1,"0_1","invasion","MICOAR"
"MOURMY1","con_dens",0.0657475012404999,0.0354324478065006,1,"0_1","invasion","MOURMY"
"OURALU1","con_dens",1.07259633155975,0.379837822187013,1,"0_1","invasion","OURALU"
"PRI1AS1","con_dens",0.0114109921361959,0.0826202444276084,1,"0_1","invasion","PRI1AS"
"PSYCDE1","con_dens",0.122867436788088,0.481333533338657,1,"0_1","invasion","PSYCDE"
"PSYCFU1","con_dens",0.0739820956165985,0.0607039080752377,1,"0_1","invasion","PSYCFU"
"QUARAS1","con_dens",-0.0447599283695285,0.0176187595842316,1,"0_1","invasion","QUARAS"
"RHYCPY1","con_dens",-0.0038541014917133,0.154490509029774,1,"0_1","invasion","RHYCPY"
"RINOSY1","con_dens",0.0798315238569214,0.201028930727284,1,"0_1","invasion","RINOSY"
"TET3DI1","con_dens",-0.372002585361389,0.69761909400969,1,"0_1","invasion","TET3DI"
"data_deficient_seedling1","con_dens",0.721929758550572,0.299271837638687,1,"0_1","invasion","data_deficient_seedling"
